50000,135.424
100000,209.628
150000,255.984
200000,287.052
250000,306.308
300000,319.688
350000,328.276
400000,335.004
450000,338.94
500000,341.712
550000,344.096
600000,345.664
650000,345.356
700000,347.304
750000,347.556
800000,348.42
850000,349.588
900000,349.296
950000,349.356
1000000,349.116
1050000,349.584
1100000,348.284
1150000,349.472
1200000,349.836
1250000,350.232
1300000,349.016
1350000,349.384
1400000,348.088
1450000,348.788
1500000,348.148
1550000,348.584
1600000,349.04
1650000,348.424
1700000,348.904
1750000,349.236
1800000,348.664
1850000,349.028
1900000,348.916
1950000,349.064
2000000,349.052
2050000,349.528
2100000,349.14
2150000,350.208
2200000,348.768
2250000,349.424
2300000,349.436
2350000,349.876
2400000,348.692
2450000,349.148
2500000,348.668
