50000,16.32
100000,25.82
150000,32.588
200000,37.056
250000,40.708
300000,42.608
350000,44.484
400000,45.804
450000,47.108
500000,47.892
550000,48.572
600000,48.976
650000,49.228
700000,49.164
750000,49.02
800000,49.196
850000,49.54
900000,49.26
950000,50.044
1000000,49.924
1050000,50.268
1100000,50.508
1150000,50.684
1200000,49.896
1250000,49.672
1300000,49.944
1350000,50.024
1400000,49.904
1450000,49.724
1500000,50.148
1550000,50.268
1600000,50.652
1650000,50.04
1700000,50.408
1750000,50.148
1800000,49.964
1850000,49.516
1900000,49.684
1950000,49.496
2000000,49.628
2050000,50.0
2100000,50.032
2150000,49.76
2200000,50.192
2250000,50.0
2300000,50.332
2350000,50.096
2400000,49.984
2450000,50.224
2500000,50.288
